,Name,Avg,Count,cleaned_words,genres_literal
0,난지캠핑장,4.3915343915343925,189,"['친구', '분위기', '접근성', '여름', '한강']",친구 분위기 접근성 여름 한강
1,서울북한산럭셔리카라반&수영장글램핑,4.8,20,"['힐링', '별빛', '커플', '가족']",힐링 별빛 커플 가족
2,중랑캠핑숲,3.5,10,['가족'],가족
3,서울서초글램핑청계산장,4.25,10,['불멍'],불멍
4,무수아취,4.65,10,"['힐링', '산책', '커플', '가족']",힐링 산책 커플 가족
5,인디언소울II,4.05,10,"['반려동물', '분위기']",반려동물 분위기
6,북한산캠핑장,5.0,1,"['시골', '야경', '분위기', '접근성', '수웊']",시골 야경 분위기 접근성 수웊
7,가평명지산카라반글램핑,4.428481012658228,1580,"['보옴', '분위기', '감성', '벚꽃', '깨끗', '운치', '별빛', '친구', '가족', '야경', '고요', '쾌적', '노을', '커플', '공기', '힐링', '경치', '불멍', '낭만', '아이', '접근성', '여름', '단풍', '친절', '계곡', '사안', '가을', '수웊', '산책', '낚시', '감상', '휴식', '겨울', '동물']",보옴 분위기 감성 벚꽃 깨끗 운치 별빛 친구 가족 야경 고요 쾌적 노을 커플 공기 힐링 경치 불멍 낭만 아이 접근성 여름 단풍 친절 계곡 사안 가을 수웊 산책 낚시 감상 휴식 겨울 동물
8,동화힐링캠프글램핑,4.15,20,"['수웊', '힐링', '동물']",수웊 힐링 동물
9,너리굴문화마을,4.434782608695652,23,"['사안', '분위기', '여름', '깨끗', '친절']",사안 분위기 여름 깨끗 친절
10,산으로캠핑장,4.825,20,"['가을', '깨끗', '경치']",가을 깨끗 경치
11,고래숲,4.55,20,['사안'],사안
12,유식물원캠핑장,4.5,20,"['별빛', '가족', '산책', '경치', '겨울']",별빛 가족 산책 경치 겨울
13,글램비 글램핑,4.4,20,"['친절', '커플', '경치', '바다']",친절 커플 경치 바다
14,힐링별밤수목원캠핑장,4.695652173913044,23,"['별빛', '수웊', '경치', '휴식', '계곡']",별빛 수웊 경치 휴식 계곡
15,세라핌캠프 키즈글램핑,4.7,20,['커플'],커플
16,계곡메사오토캠핑장펜션,4.7,20,"['나무', '단풍', '경치']",나무 단풍 경치
17,해자연캠핑장,4.159090909090909,22,"['힐링', '경치']",힐링 경치
18,하늘숲글램핑파크,4.95,20,"['보옴', '친구', '분위기', '가을', '여름', '힐링', '경치', '겨울', '계곡']",보옴 친구 분위기 가을 여름 힐링 경치 겨울 계곡
19,힐링 가평오토캠핑장&글램핑,4.478260869565218,23,"['반려동물', '가족']",반려동물 가족
20,캠프오후4시,4.85,20,"['별빛', '분위기', '노을', '깨끗', '힐링', '경치', '불멍', '겨울']",별빛 분위기 노을 깨끗 힐링 경치 불멍 겨울
21,포시즌스오토캠핑장,4.35,20,"['불멍', '여름', '계곡']",불멍 여름 계곡
22,왕산가족오토캠핑장,3.3,10,"['겨울', '가족', '바다']",겨울 가족 바다
23,비치캠핑장,4.3,20,['경치'],경치
24,어반슬로우시티 글램핑카라반 수상레저,4.4,20,"['사안', '노을', '공기', '경치', '불멍']",사안 노을 공기 경치 불멍
25,양평수목원 캠핑장,3.8541666666666665,24,"['별빛', '가족', '여름', '산책', '경치', '호수']",별빛 가족 여름 산책 경치 호수
26,산마루캠핑장,4.45,20,"['수웊', '경치']",수웊 경치
27,산중호걸 글램핑카라반,4.5,10,"['가족', '여름', '계곡']",가족 여름 계곡
28,어비산계곡 늘푸른쉼터오토캠핑장,4.333333333333333,12,['깨끗'],깨끗
29,김포한강오토캠핑장,3.95,10,"['사안', '경치', '분위기']",사안 경치 분위기
30,물왕숲캠핑파크,4.363636363636363,11,"['수웊', '가족']",수웊 가족
31,더드림핑 글램핑,4.7,10,"['힐링', '불멍', '분위기']",힐링 불멍 분위기
32,뉴힐링캠프,4.8,10,"['고요', '우중', '여름', '힐링', '계곡']",고요 우중 여름 힐링 계곡
33,동화카라반 캠핑장,4.8,10,"['깨끗', '불멍', '분위기']",깨끗 불멍 분위기
34,스마일카라반펜션,4.9,10,"['사안', '아이', '경치', '불멍', '겨울']",사안 아이 경치 불멍 겨울
35,자일랜드 글램핑펜션&오토캠핑장,4.3,10,"['힐링', '우중', '단풍', '경치']",힐링 우중 단풍 경치
36,아버지의숲 산정캠프,5.0,10,"['가족', '분위기', '가을', '커플', '깨끗', '수웊', '힐링', '산책', '솔로캠핑', '동물']",가족 분위기 가을 커플 깨끗 수웊 힐링 산책 솔로캠핑 동물
37,와이캠핑장,4.15,10,['운치'],운치
38,여울지숲속캠핑장,4.4,10,"['수웊', '힐링', '친구', '휴식']",수웊 힐링 친구 휴식
39,하늘숲글램핑,4.85,10,['야경'],야경
40,글램파크 글램핑 카라반,4.95,10,"['보옴', '가족', '여름', '공기', '수웊', '운치', '힐링', '경치', '겨울']",보옴 가족 여름 공기 수웊 운치 힐링 경치 겨울
41,새연 카라반 글램핑 현리1호점,3.85,10,"['별빛', '가족', '분위기', '감성', '아이', '경치', '불멍', '계곡']",별빛 가족 분위기 감성 아이 경치 불멍 계곡
42,범산골캠핑장,4.75,10,"['산책', '가족']",산책 가족
43,블루마린 오토캠핑장,3.95,10,['운치'],운치
44,푸른숲캠핑장,3.6,10,['경치'],경치
45,호수카라반캠핑장,4.6,10,"['친구', '분위기', '반려동물', '노을', '힐링', '산책', '경치', '호수', '불멍']",친구 분위기 반려동물 노을 힐링 산책 경치 호수 불멍
46,엄소리오토캠핑장,4.15,10,"['분위기', '가을', '깨끗', '겨울', '계곡']",분위기 가을 깨끗 겨울 계곡
47,메이플글램핑,5.0,10,"['가족', '분위기', '가을', '커플', '힐링', '불멍']",가족 분위기 가을 커플 힐링 불멍
48,선녀와나무꾼캠핑장,4.35,10,"['친구', '분위기', '공기', '힐링', '동물']",친구 분위기 공기 힐링 동물
49,서삼릉청소년야영장,4.2,10,"['가을', '보옴', '겨울', '여름']",가을 보옴 겨울 여름
50,하마캠핑장,4.45,10,['가족'],가족
51,골드펫리조트,4.25,10,"['반려동물', '경치']",반려동물 경치
52,채움카라반글램핑리조트,4.9,10,"['불멍', '가족', '계곡']",불멍 가족 계곡
53,오렌지글램핑,3.85,10,"['여름', '불멍', '아이', '가족']",여름 불멍 아이 가족
54,보고 글램핑,4.5,10,"['친절', '반려동물', '가족']",친절 반려동물 가족
55,HJ글램핑,5.0,10,"['가족', '분위기']",가족 분위기
56,럭셔리 안성M글램핑카라반,4.8,10,"['친구', '가족', '분위기']",친구 가족 분위기
57,올덴펜션카라반캠핑장,4.05,10,"['가족', '분위기', '공기', '경치', '반려동물', '동물', '낭만']",가족 분위기 공기 경치 반려동물 동물 낭만
58,양평 다목적캠핑장,4.25,10,"['산책', '경치']",산책 경치
59,별다리글램핑캠핑장,4.95,10,"['공기', '깨끗', '운치', '힐링', '경치', '불멍', '겨울']",공기 깨끗 운치 힐링 경치 불멍 겨울
60,소풍캠핑장,4.2,10,"['분위기', '고요', '단풍', '경치', '계곡']",분위기 고요 단풍 경치 계곡
61,새연 글램핑카라반 포천점,3.85,10,"['공기', '경치']",공기 경치
62,다누리움 캠핑장,3.65,10,"['노을', '가족']",노을 가족
63,아쿠아마린글램핑,4.85,10,"['힐링', '운치', '감성', '휴식']",힐링 운치 감성 휴식
64,물동네힐링캠프,3.95,10,"['가족', '힐링', '경치']",가족 힐링 경치
65,산정호수돌고래캠핑장관광농원,4.7,10,['나무'],나무
66,귀한농부학교캠프,3.85,10,['분위기'],분위기
67,와이글램핑,4.55,10,"['친구', '힐링', '불멍', '동물', '계곡']",친구 힐링 불멍 동물 계곡
68,달빛애견글램핑 럭셔리수영장,5.0,10,"['깨끗', '반려동물', '별빛', '분위기']",깨끗 반려동물 별빛 분위기
69,써니힐즈 오토캠핑장,4.65,10,['가족'],가족
70,캠프레이크,4.45,10,"['가족', '가을', '힐링', '산책', '경치', '호수', '반려동물']",가족 가을 힐링 산책 경치 호수 반려동물
71,숲속의쉼터,4.75,10,['분위기'],분위기
72,위크온글램핑,4.45,10,"['불멍', '사안', '별빛']",불멍 사안 별빛
73,주금산 홀스킹덤 수영장 글램핑,4.8,10,"['경치', '분위기']",경치 분위기
74,유명산달빛정원글램핑캠핑,5.0,10,"['별빛', '친구', '분위기', '가을', '노을', '힐링', '불멍']",별빛 친구 분위기 가을 노을 힐링 불멍
75,해와달수상카바나빌리지,4.0,10,"['힐링', '낚시', '경치']",힐링 낚시 경치
76,산우물쉼터오토캠핑장&카라반 (호수낚시),4.7,10,"['힐링', '산책', '운치', '저수지']",힐링 산책 운치 저수지
77,크리스월드더레지던스,4.4,10,['경치'],경치
78,씨엘관광농원글램핑,3.7,10,"['사안', '분위기', '반려동물', '공기', '경치', '불멍']",사안 분위기 반려동물 공기 경치 불멍
79,핀란드캠핑성,4.55,10,"['가족', '분위기', '힐링', '공기', '경치', '계곡']",가족 분위기 힐링 공기 경치 계곡
80,글램핑클럽레스피아in가평1호점,3.25,10,"['사안', '별빛', '분위기', '공기', '운치']",사안 별빛 분위기 공기 운치
81,솔다람숲 힐링파크,4.55,10,"['불멍', '사안', '경치']",불멍 사안 경치
82,파주캠핑장,4.8,10,"['힐링', '가족']",힐링 가족
83,호수산장캠핑장,2.2,10,"['수웊', '경치']",수웊 경치
84,참살이 오토가족캠핑장,4.7,10,"['별빛', '가족', '힐링', '산책', '친절', '경치', '반려동물', '겨울']",별빛 가족 힐링 산책 친절 경치 반려동물 겨울
85,산으로 간 니모 글램핑&오토캠핑장,4.1,10,"['힐링', '여름', '경치', '계곡']",힐링 여름 경치 계곡
86,카라반캠프,4.85,10,"['불멍', '바다']",불멍 바다
87,새연 카라반 글램핑 설악2호점,3.85,10,['여름'],여름
88,양평키즈글램핑,4.2,10,"['깨끗', '아이']",깨끗 아이
